5,L_180.00_10_5000,L_180.00_20_5000,L_180.00_30_5000,L_180.00_50_5000,L_180.00_70_5000,
tsp_instance1,233771.620197,232872.346298,232598.564576,234174.163653,235920.530488,
tsp_instance2,235665.276710,234335.320782,234292.838765,237171.837687,234996.512815,
tsp_instance3,233040.694276,232517.819636,233382.551120,234283.501808,235346.634094,
tsp_instance4,228327.007497,228143.994048,228605.046810,229043.079170,233528.652346,
tsp_instance5,235341.240747,233755.257307,234154.709768,234284.194909,238997.463284,
tsp_instance6,234316.629176,232899.662319,232945.505119,233630.453113,236009.382984,
tsp_instance7,229295.918246,229025.016272,228904.311477,229415.434927,237614.885439,
tsp_instance8,235595.738812,232727.968786,232664.073725,235703.922066,238325.149210,
tsp_instance9,235673.063122,235221.632316,235803.921329,237061.605627,241691.823748,
tsp_instance10,238296.217147,234274.749083,233417.946234,234759.730610,237069.496076,
