2,Local Branching,Hard Fixing,
tsp_instance1,232358.736527,231062.239974,
tsp_instance2,233564.858711,233196.352822,
tsp_instance3,232658.264453,231040.439997,
tsp_instance4,228295.393101,228081.865773,
tsp_instance5,234730.973868,232465.493578,
tsp_instance6,233208.168846,233445.224918,
tsp_instance7,228792.414868,228665.324538,
tsp_instance8,232912.917970,231462.630393,
tsp_instance9,235307.877735,233056.545301,
tsp_instance10,232873.859349,232040.280965,
