5,H_180.00_0_50_1000,H_180.00_1_20_1000,H_180.00_1_40_1000,H_180.00_1_50_1000,H_180.00_1_80_1000,
tsp_instance1,234257.242041,240966.315381,240966.315381,240966.315381,240966.315381,
tsp_instance2,233315.918692,238867.471417,238867.471417,234745.994251,236000.404533,
tsp_instance3,231989.627114,240893.169265,240893.169265,240893.169265,240893.169265,
tsp_instance4,228020.047004,235310.347778,235310.347778,235310.347778,235310.347778,
tsp_instance5,233196.450986,243192.183598,237034.494734,243192.183598,243192.183598,
tsp_instance6,238777.179679,234243.987010,234243.987010,234243.987010,234243.987010,
tsp_instance7,229283.278710,237536.630276,237536.630276,237536.630276,237536.630276,
tsp_instance8,234007.745330,239831.211945,239831.211945,239831.211945,234717.263022,
tsp_instance9,233257.055424,242924.707620,242924.707620,242924.707620,242924.707620,
tsp_instance10,232419.894630,235586.232862,243761.944368,243384.257182,235293.473379,
